question,options,answer,explanation
"A takes twice as much time as B or thrice as much time as C to finish a piece of work. Working together, they can finish the work in 2 days. B can do the work alone in:","['4 days', '6 days', '8 days', '12 days']",B,"Suppose A, B and C takex,xandxdays respectively to finish the work.23Then,1+2+3=1xxx26=1x2x= 12.So, B takes (12/2) = 6 days to finish the work."
A and B can complete a work in 15 days and 10 days respectively. They started doing the work together but after 2 days B had to leave and A alone completed the remaining work. The whole work was completed in :,"['8 days', '10 days', '12 days', '15 days']",C,"(A + B)'s 1 day's work =1+1=1.15106Work done by A and B in 2 days =1x 2=1.63Remaining work =1 -1=2.33Now,1work is done by A in 1 day.152work will be done by a in15 x2= 10 days.33Hence, the total time taken = (10 + 2) = 12 days."
"A and B can do a piece of work in 30 days, while B and C can do the same work in 24 days and C and A in 20 days. They all work together for 10 days when B and C leave. How many days more will A take to finish the work?","['18 days', '24 days', '30 days', '36 days']",A,"2(A + B + C)'s 1 day's work =1+1+1=15=1.3024201208Therefore, (A + B + C)'s 1 day's work =1=1.2 x 816Work done by A, B, C in 10 days =10=5.168Remaining work =1 -5=3.88A's 1 day's work =1-1=1.162448Now,1work is done by A in 1 day.48So,3work will be done by A in48 x3= 18 days.88"
"A works twice as fast as B. If B can complete a work in 12 days independently, the number of days in which A and B can together finish the work in :","['4 days', '6 days', '8 days', '18 days']",A,"Ratio of rates of working of A and B = 2 : 1.So, ratio of times taken = 1 : 2.B's 1 day's work =1.12A's 1 day's work =1; (2 times of B's work)6(A + B)'s 1 day's work =1+1=3=1.612124So, A and B together can finish the work in 4 days."
Twenty women can do a work in sixteen days. Sixteen men can complete the same work in fifteen days. What is the ratio between the capacity of a man and a woman?,"['3 : 4', '4 : 3', '5 : 3', 'Data inadequate']",B,"(20 x 16) women can complete the work in 1 day.1 woman's 1 day's work =1.320(16 x 15) men can complete the work in 1 day.1 man's 1 day's work =1240So, required ratio=1:1240320=1:134= 4 : 3 (cross multiplied)"
"A and B can do a work in 8 days, B and C can do the same work in 12 days. A, B and C together can finish it in 6 days. A and C together will do it in :","['4 days', '6 days', '8 days', '12 days']",C,"(A + B + C)'s 1 day's work =1;6(A + B)'s 1 day's work =1;8(B + C)'s 1 day's work =1.12(A + C)'s 1 day's work=2 x1-1+16812=1-5324=324=1.8So, A and C together will do the work in 8 days."
"A can finish a work in 24 days, B in 9 days and C in 12 days. B and C start the work but are forced to leave after 3 days. The remaining work was done by A in:","['5 days', '6 days', '10 days', '101days2']",C,"(B + C)'s 1 day's work =1+1=7.91236Work done by B and C in 3 days =7x 3=7.3612Remaining work =1 -7=5.1212Now,1work is done by A in 1 day.24So,5work is done by A in24 x5= 10 days.1212"
X can do a piece of work in 40 days. He works at it for 8 days and then Y finished it in 16 days. How long will they together take to complete the work?,"['131days3', '15 days', '20 days', '26 days']",A,"Work done by X in 8 days =1x 8=1.405Remaining work =1 -1=4.55Now,4work is done by Y in 16 days.5Whole work will be done by Y in16 x5= 20 days.4X's 1 day's work =1, Y's 1 day's work =1.4020(X + Y)'s 1 day's work =1+1=3.402040Hence, X and Y will together complete the work in40= 131days.33"
A and B can do a job together in 7 days. A is 1times as efficient as B. The same job can be done by A alone in :,"['91days3', '11 days', '121days4', '161days3']",B,"(A's 1 day's work) : (B's 1 day's work) =7: 1   =   7 : 4.4Let A's and B's 1 day's work be 7xand 4xrespectively.Then, 7x+ 4x=111x=1x=1.7777A's 1 day's work =1x 7=1.7711"
"A and B together can do a piece of work in 30 days. A having worked for 16 days, B finishes the remaining work alone in 44 days. In how many days shall B finish the whole work alone?","['30 days', '40 days', '60 days', '70 days']",C,"Let A's 1 day's work =xand B's 1 day's work =y.Then,x+y=1and 16x+ 44y= 1.30Solving these two equations, we get:x=1andy=16060B's 1 day's work =1.60Hence, B alone shall finish the whole work in 60 days."
"A is thrice as good as workman as B and therefore is able to finish a job in 60 days less than B. Working together, they can do it in:","['20 days', '221days2', '25 days', '30 days']",B,"Ratio of times taken by A and B = 1 : 3.The time difference is (3 - 1) 2 days while B take 3 days and A takes 1 day.If difference of time is 2 days, B takes 3 days.If difference of time is 60 days, B takes3x 60= 90 days.2So, A takes 30 days to do the work.A's 1 day's work =130B's 1 day's work =190(A + B)'s 1 day's work =1+1=4=230909045A and B together can do the work in45= 221days.22"
"A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. How much is to be paid to C?","['Rs. 375', 'Rs. 400', 'Rs. 600', 'Rs. 800']",B,C's 1 day's work =1-1+1=1-7=1.36832424A's wages : B's wages : C's wages =1:1:1= 4 : 3 : 1.6824C's share (for 3 days) = Rs.3 x1x 3200= Rs. 400.24
"If 6 men and 8 boys can do a piece of work in 10 days while 26 men and 48 boys can do the same in 2 days, the time taken by 15 men and 20 boys in doing the same type of work will be:","['4 days', '5 days', '6 days', '7 days']",A,"Let 1 man's 1 day's work =xand 1 boy's 1 day's work =y.Then, 6x+ 8y=1and 26x+ 48y=1.102Solving these two equations, we get :x=1andy=1.100200(15 men + 20 boy)'s 1 day's work =15+20=1.100200415 men and 20 boys can do the work in 4 days."
"A can do a piece of work in 4 hours; B and C together can do it in 3 hours, while A and C together can do it in 2 hours. How long will B alone take to do it?","['8 hours', '10 hours', '12 hours', '24 hours']",C,A's 1 hour's work =1;4(B + C)'s 1 hour's work =1;3(A + C)'s 1 hour's work =1.2(A + B + C)'s 1 hour's work =1+1=7.4312B's 1 hour's work =7-1=1.12212B alone will take 12 hours to do the work.
"A can do a certain work in the same time in which B and C together can do it. If A and B together could do it in 10 days and C alone in 50 days, then B alone could do it in:","['15 days', '20 days', '25 days', '30 days']",C,"(A + B)'s 1 day's work =110C's 1 day's work =150(A + B + C)'s 1 day's work =1+1=6=3. .... (i)10505025A's 1 day's work = (B + C)'s 1 day's work .... (ii)From (i) and (ii), we get: 2 x (A's 1 day's work) =325A's 1 day's work =3.50B's 1 day's work1-3=2=1.10505025So, B alone could do the work in 25 days."
A does 80% of a work in 20 days. He then calls in B and they together finish the remaining work in 3 days. How long B alone would take to do the whole work?,"['23 days', '37 days', '37', '40 days']",C,"Whole work is done by A in20 x5= 25 days.4Now,1 -4i.e.,1work is done by A and B in 3 days.55Whole work will be done by A and B in (3 x 5) = 15 days.A's 1 day's work =1, (A + B)'s 1 day's work =1.2515B's 1 day's work =1-1=4=2.152515075So, B alone would do the work in75= 371days.22"
"A machine P can print one lakh books in 8 hours, machine Q can print the same number of books in 10 hours while machine R can print them in 12 hours. All the machines are started at 9 A.M. while machine P is closed at 11 A.M. and the remaining two machines complete work. Approximately at what time will the work (to print one lakh books) be finished ?","['11:30 A.M.', '12 noon', '12:30 P.M.', '1:00 P.M.']",D,"(P + Q + R)'s 1 hour's work =1+1+1=37.81012120Work done by P, Q and R in 2 hours =37x 2=37.12060Remaining work =1 -37=23.6060(Q + R)'s 1 hour's work =1+1=11.101260Now,11work is done by Q and R in 1 hour.60So,23work will be done by Q and R in60x23=23hours2 hours.60116011So, the work will be finished approximately 2 hours after 11 A.M., i.e., around 1 P.M."
