question,options,answer,explanation
"A bird shooter was askgd how many birds he had in the bag. He replied that there were all sparrows but six, all pigeons but six, and all ducks but six. How many birds he had in the bag in all?","['9', '18', '27', '36']",A,"There were all sparrows but six' means that six birds were not sparrows but only pigeons and ducks.Similarly, number of sparrows + number of ducks = 6 and number of sparrows + number of pigeons = 6.This is possible when there are 3 sparrows, 3 pigeons and 3 ducks i.e. 9 birds in all."
Mr. Johnson was to earn £ 300 and a free holiday for seven weeks' work. He worked for only 4 weeks and earned £ 30 and a free holiday. What was the value of the holiday?,"['£ 300', '£ 330', '£ 360', '£ 420']",B,
"What is the smallest number of ducks that could swim in this formation - two ducks in front of a duck, two ducks behind a duck and a duck between two ducks ?","['3', '5', '7', '9']",A,"Clearly, the smallest such number is 3.Three ducks can be arranged as shown above to satisfy all the three given conditions."
"Three friends had dinner at a restaurant. When the bill was received, Amita paid 2/3 as much as Veena paid and Veena paid 1/2 as much as Tanya paid. What faction of the bill did Veena pay ?","['1/3', '3/11', '12/13', '5/8']",B,
"When Rahul was born, his father was 32 years older than his brother and his mother was 25 years older than his sister. If Rahul's brother is 6 years older than him and his mother is 3 years younger than his father, how old was Rahul's sister when he was born ?","['7 years', '10 years', '14 years', '19 years']",B,"When Rahul was born, his brother's age = 6 years; his father's age = (6 + 32) years = 38 years, his mother's age = (38 - 3) years = 35 years; his sister's age = (35 - 25) years = 10 years."
"A certain number of horses and an equal number of men are going somewhere. Half of the owners are on their horses' back while the remaining ones are walking along leading their horses. If the number of legs walking on the ground is 70, how many horses are there ?","['10', '12', '14', '16']",C,"Let number of horses = number of men = x.Then, number of legs = 4x + 2 x (x/2) = 5x.So, 5X = 70   or   x = 14."
"Ravi's brother is 3 years senior to him. His father was 28 years of age when his sister was born while his mother was 26 years of age when he was born. If his sister was 4 years of age when his brother was born, what were the ages of Ravi's father and mother respectively when his brother was born ?","['32 years, 23 years', '32 years, 29 years', '35 years, 29 years', '35 years, 33 years']",A,"When Ravi's brother was born, let Ravi's father's age = x years and mother's age = y years.Then, sister's age = (x - 28) years. So, x - 28 = 4   or   x = 32.Ravi's age = (y - 26) years. Age of Ravi's brother = (y - 26 + 3) years = (y - 23) years.Now, when Ravi's brother was born, his age = 0 i.e. y - 23 = 0   or   y = 23."
"A, B, C, D and E play a game of cards. A says to B, ""If you give me three cards, you will have as many as E has and if I give you three cards, you will have as many as D has."" A and B together have 10 cards more than what D and E together have. If B has two cards more than what C has and the total number of cards be 133, how many cards does B have ?","['22', '23', '25', '35']",C,"Clearly, we have :B-3 = E                                    ...(i)B + 3 = D                                      ...(ii)A+B = D + E+10                    ...(iii)B = C + 2                                      ...(iv)A+B + C + D + E= 133            ...(v)From (i) and (ii), we have : 2 B = D + E  ...(vi)From (iii) and (vi), we have : A = B + 10  ...(vii)Using (iv), (vi) and (vii) in (v), we get:(B + 10) + B + (B - 2) + 2B = 1335B = 125B = 25."
The number of boys in a class is three times the number of girls. Which one of the following numbers cannot represent the total number of children in the class ?,"['48', '44', '42', '40']",C,"Let number of girls = x and number of boys = 3x.Then, 3x + x = 4x = total number of students.Thus, to find exact value of x, the total number of students must be divisible by 4."
A shepherd had 17 sheep. All but nine died. How many was he left with ?,"['Nil', '8', '9', '17']",C,'All but nine died' means 'All except nine died' i.e. 9 sheep remained alive.
"In a family, the father took 1/4 of the cake and he had 3 times as much as each of the other members had. The total number of family members is","['3', '7', '10', '12']",C,
"In three coloured boxes - Red, Green and Blue, 108 balls are placed. There are twice as many balls in the green and red boxes combined as there are in the blue box and twice as many in the blue box as there are in the red box. How many balls are there in the green box ?","['18', '36', '45', 'None of these']",D,"Let R, G and B represent the number of balls in red, green and blue boxes respectively.Then, .R + G + B = 108       ...(i),G + R = 2B       ...(ii)B = 2R       ...(iii)From (ii) and (iii), we have G + R = 2x 2R = 4R   or   G = 3R.Putting G = 3R and B = 2R in (i), we get:R + 3R + 2R = 1086R = 108R = 18.Therefore Number of balls in green box = G = 3R = (3 x 18) = 54."
"In a cricket match, five batsmen A, B, C, D and E scored an average of 36 runs. D Scored 5 more than E; E scored 8 fewer than A; B scored as many as D and E combined; and B and C scored 107 between them. How many runs did E score ?","['62', '45', '28', '20']",D,"Total runs scored = (36 x 5) = 180.Let the runs scored by E be x.Then, runs scored by D = x + 5; runs scored by A = x + 8;runs scored by B = x + x + 5 = 2x + 5;runs scored by C = (107 - B) = 107 - (2x + 5) = 102 - 2x.So, total runs = (x + 8) + (2x + 5) + (102 - 2x) + (x + 5) + x = 3x + 120.Therefore 3x + 120 =1803X = 60x = 20."
The total number of digits used in numbering the pages of a book having 366 pages is,"['732', '990', '1098', '1305']",B,Total number of digits= (No. of digits in 1- digit page nos. + No. of digits in 2-digit page nos. + No. of digits in 3- digit page nos.)= (1 x 9 + 2 x 90 + 3 x 267) = (9 + 180 + 801) = 990.
"In a family, each daughter has the same number of brothers as she has sisters and each son has twice as many sisters as he has brothers. How many sons are there in the family ?","['2', '3', '4', '5']",B,"Let d and s represent the number of daughters and sons respectively.Then, we have :d - 1 = s       and       2 (s - 1) = d.Solving these two equations, we get: d = 4, s = 3."
"At a dinner party every two guests used a bowl of rice between them, every three guests used a bowl of dal between them and every four used a bowl of meat between them. There were altogether 65 dishes. How many guests were present at the party ?","['60', '65', '90', 'None of these']",A,
Ayush was born two years after his father's marriage. His mother is five years younger than his father but 20 years older than Ayush who is 10 years old. At what age did the father get married ?,"['23 years', '25 years', '33 years', '35 years']",A,Ayush's present age = 10 years.His mother's present age = (10 + 20) years = 30 years.Ayush's father's present age = (30 + 5) years = 35 years.Ayush's father's age at the time of Ayush's birth = (35 - 10) years = 25 years.Therefore Ayush's father's age at the time of marriage = (25 - 2) years = 23 years.
A pineapple costs Rs. 7 each. A watermelon costs Rs. 5 each. X spends Rs. 38 on these fruits. The number of pineapples purchased is,"['2', '3', '4', 'Data inadequate']",C,
"A woman says, ""If you reverse my own age, the figures represent my husband's age. He is, of course, senior to me and the difference between our ages is one-eleventh of their sum."" The woman's age is","['23 years', '34 years', '45 years', 'None of these']",C,"Let x and y be the ten's and unit's digits respectively of the numeral denoting the woman's age.Then, woman's age = (10X + y) years; husband's age = (10y + x) years.Therefore  (10y + x)- (10X + y) = (1/11) (10y + x + 10x + y)(9y-9x) = (1/11)(11y + 11x) = (x + y)10x = 8yx = (4/5)yClearly, y should be a single-digit multiple of 5, which is 5.So, x = 4, y = 5.Hence, woman's age = 10x + y = 45 years."
"A girl counted in the following way on the fingers of her left hand : She started by calling the thumb 1, the index finger 2, middle finger 3, ring finger 4, little finger 5 and then reversed direction calling the ring finger 6, middle finger 7 and so on. She counted upto 1994. She ended counting on which finger ?","['Thumb', 'Index finger', 'Middle finger', 'Ring finger']",B,"Clearly, while counting, the numbers associated to the thumb will be : 1, 9,17, 25,.....i.e. numbers of the form (8n + 1).Since 1994 = 249 x 8 + 2, so 1993 shall correspond to the thumb and 1994 to the index finger."
"A man has Rs. 480 in the denominations of one-rupee notes, five-rupee notes and ten-rupee notes. The number of notes of each denomination is equal. What is the total number of notes that he has ?","['45', '60', '75', '90']",D,"Let number of notes of each denomination be x.Then, x + 5x + 10x = 48016x = 480x = 30.Hence, total number of notes = 3x = 90."
What is the product of all the numbers in the dial of a telephone ?,"['1,58,480', '1,59,450', '1,59,480', 'None of these']",D,"Since one of the numbers on the dial of a telephone is zero, so the product of all the numbers on it is 0."
