question,options,answer,explanation
Which one will replace the question mark ?,"['4', '6', '9', '8']",B,"3 x 5 x 4 =60and 5 x 7 x 4 =140Therefore, 4 x 4 x ? =96? = (96/16) =6."
Which one will replace the question mark ?,"['2', '4', '6', '8']",C,"(4 x 7) % 4 =7and (6 x 2) % 3 =4Therefore, (6 x 2) % 2 =6."
Which one will replace the question mark ?,"['45', '41', '32', '40']",A,"(15x 2 - 3) = 27,(31x 2 - 6) = 56and (45x 2 - 9) = 81"
Which one will replace the question mark ?,"['14', '22', '32', '320']",C,(5 x 6 x 4)/10 =12and (6 x 7 x 5)/10 =21Therefore (4 x 8 x 10)/10 =32.
Which one will replace the question mark ?,"['18', '90', '108', '28']",C,"13 + 15 =2836 + 54 =90Therefore, 45 + 63 =108."
Which one will replace the question mark ?,"['8', '9', '10', '11']",D,(3 x 4 - 8) =4(2 x 5 - 4) =6(4 x 5 - 9) =11.
Which one will replace the question mark ?,"['60', '50', '25', '21']",C,
Which one will replace the question mark ?,"['47', '45', '37', '35']",C,"(3 x 3) + (5 x 6) =39and (4 x 4) + (5 x 7) =51Therefore, (3 x 4) + (5 x 5) =37."
Which one will replace the question mark ?,"['1', '2', '3', '4']",A,(2)2=4(8)2=64(5)2=25(1)2=1.
Which one will replace the question mark ?,"['6', '7', '8', '9']",B,"(10 + 9 + 14 + 7)/2 =20and (11 + 16 + 10 + 13)/2 =25Therefore, (15 + ? + 12 + 10)/2 =22Hence 37 + ? = 44? = 44 - 37? =7."
Which one will replace the question mark ?,"['33', '38', '32', '37']",D,(5 x 6) + 2 =32(7 x 6) + 2 =44(7 x 5) + 2 =37.
Which one will replace the question mark ?,"['6', '7', '8', '9']",A,(5 + 3)/2 =4and (6 + 8)/2 =7Therefore (8 + 4)/2 =6.
Which one will replace the question mark ?,"['660', '670', '610', '690']",D,(1)2+ (5)2+ (4)2+ (3)2= 51 x 10 =510and (3)2+ (4)2+ (6)2+ (2)2= 65 x 10 =650Similarly (0)2+ (1)2+ (2)2+ (8)2= 69 x 10 =690.
Which one will replace the question mark ?,"['115', '130', '135', '140']",B,(5 x 6 x 8) + (7 x 4 x 9) =492and (7 x 5 x 4) + (6 x 8 x 9) =572Therefore (4 x 3 x 5) + (7 x 2 x 5) =130.
Which one will replace the question mark ?,"['18', '20', '21', '19']",B,"1 + 2 + 3 + 4 =10and 1 + 3 + 5 + 8 =17Similarly, 1 + 4 + 6 + 9 =20."
Which one will replace the question mark ?,"['80', '114', '108', 'None of these']",C,(4 + 8) x 9 =108(5 + 4) x 12 =108.
Which one will replace the question mark ?,"['8', '14', '10', '6']",C,"For first triangle,10 - 4 =618 - 10 =818 - 4 =14For second triangle,14 - 8 =622 - 14 =822 - 8 =14For third triangle,11 - 5 =615 - 11 =415 - 5 =10."
Which one will replace the question mark ?,"['11', '19', '15', '22']",D,(2 x 2 - 1) =3and (5 x 4 - 5) =15(5 x 5 - 3) =22.
Which one will replace the question mark ?,"['92', '72', '62', '99']",D,"21 + 31 =52and 39 + 46 =85Therefore, 16 + 83 =99."
Which one will replace the question mark ?,"['2', '3', '4', '5']",B,"(18 x 12)/3 =72and (32 x 16)/4 =128Therefore, (24 x 14)/? = 112(336/?) = 112? = (336/112)? =3."
Which one will replace the question mark ?,"['36', '48', '38', '30']",C,"(0 + 2 + 6 + 4) - 2 =10and (6 + 2 + 10 + 8) - 2 =24Therefore, (4 + 14 + 12 + 10) - 2 =38."
Which one will replace the question mark ?,"['41', '64', '35', '61']",B,"(1)3=1, (2)3=8, (3)3=27Therefore, (4)3=64."
